size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
1350000,2,0.012241651,0.023242000,0.000281000,0.023523000,1350000,0.110279,110.279243,2,openmp_needles,3.141704852
2025000,2,0.017513299,0.034100000,0.000000000,0.034100000,2025000,0.115626,115.626416,2,openmp_needles,3.141546448
3037500,2,0.032148218,0.060774000,0.000285000,0.061059000,3037500,0.094484,94.484242,2,openmp_needles,3.141567567
4556250,2,0.035701083,0.070503000,0.000000000,0.070503000,4556250,0.127622,127.622179,2,openmp_needles,3.141608724
6834375,2,0.052297481,0.104311000,0.000000000,0.104311000,6834375,0.130683,130.682680,2,openmp_needles,3.141600060
10251562,2,0.077915661,0.155158000,0.000445000,0.155603000,10251562,0.131573,131.572547,2,openmp_needles,3.141594130
15377343,2,0.114367101,0.228059000,0.000000000,0.228059000,15377343,0.134456,134.456001,2,openmp_needles,3.141574233
23066015,2,0.166234585,0.330224000,0.001992000,0.332216000,23066015,0.138756,138.755813,2,openmp_needles,3.141589919
34599022,2,0.245612888,0.489773000,0.000441000,0.490214000,34599022,0.140868,140.868105,2,openmp_needles,3.141592869
51898533,2,0.366626565,0.732196000,0.000346000,0.732542000,51898533,0.141557,141.556935,2,openmp_needles,3.141575944
77847800,2,0.549924172,1.094001000,0.000000000,1.094001000,77847800,0.141561,141.560971,2,openmp_needles,3.141579514
116771700,2,0.815185560,1.618034000,0.000245000,1.618279000,116771700,0.143246,143.245545,2,openmp_needles,3.141581880
175157550,2,1.218025848,2.428966000,0.000000000,2.428966000,175157550,0.143804,143.804461,2,openmp_needles,3.141583683
262736325,2,1.822562812,3.633326000,0.000000000,3.633326000,262736325,0.144158,144.157624,2,openmp_needles,3.141581786
394104487,2,2.781040593,5.493120000,0.000999000,5.494119000,394104487,0.141711,141.711159,2,openmp_needles,3.141581995
591156730,2,4.194134079,8.268371000,0.001378000,8.269749000,591156730,0.140948,140.948458,2,openmp_needles,3.141582477
886735095,2,6.260664634,12.429761000,0.000287000,12.430048000,886735095,0.141636,141.635936,2,openmp_needles,3.141583017
1330102642,2,9.343015796,18.607454000,0.000289000,18.607743000,1330102642,0.142363,142.363309,2,openmp_needles,3.141582967
400000,2,0.002923042,0.005689000,0.000000000,0.005689000,400000,0.136844,136.843740,2,openmp_needles,3.141320140
600000,2,0.011595768,0.014891000,0.000000000,0.014891000,600000,0.051743,51.743015,2,openmp_needles,3.141476389
900000,2,0.007759993,0.014950000,0.000379000,0.015329000,900000,0.115979,115.979486,2,openmp_needles,3.141767000
1350000,2,0.010289888,0.019607000,0.000000000,0.019607000,1350000,0.131197,131.196763,2,openmp_needles,3.141682918
2025000,2,0.018359162,0.035000000,0.000324000,0.035324000,2025000,0.110299,110.299152,2,openmp_needles,3.141536700
3037500,2,0.027466032,0.053229000,0.000000000,0.053229000,3037500,0.110591,110.591148,2,openmp_needles,3.141570816
4556250,2,0.037445999,0.074765000,0.000000000,0.074765000,4556250,0.121675,121.675216,2,openmp_needles,3.141613057
6834375,2,0.053345479,0.105809000,0.000369000,0.106178000,6834375,0.128115,128.115355,2,openmp_needles,3.141601504
10251562,2,0.077343986,0.154418000,0.000000000,0.154418000,10251562,0.132545,132.545044,2,openmp_needles,3.141588353
15377343,2,0.112414601,0.223420000,0.000435000,0.223855000,15377343,0.136791,136.791332,2,openmp_needles,3.141576159
23066015,2,0.167097636,0.333105000,0.000995000,0.334100000,23066015,0.138039,138.039146,2,openmp_needles,3.141590775
34599022,2,0.246500475,0.492219000,0.000000000,0.492219000,34599022,0.140361,140.360874,2,openmp_needles,3.141591728
51898533,2,0.368920970,0.737271000,0.000000000,0.737271000,51898533,0.140677,140.676560,2,openmp_needles,3.141576895
77847800,2,0.547599434,1.092742000,0.000443000,1.093185000,77847800,0.142162,142.161944,2,openmp_needles,3.141579514
116771700,2,0.817891095,1.634807000,0.000337000,1.635144000,116771700,0.142772,142.771697,2,openmp_needles,3.141581711
175157550,2,1.236889905,2.463119000,0.000000000,2.463119000,175157550,0.141611,141.611270,2,openmp_needles,3.141583796
262736325,2,1.856014151,3.690055000,0.000000000,3.690055000,262736325,0.141559,141.559441,2,openmp_needles,3.141581786
394104487,2,2.799307045,5.549907000,0.000293000,5.550200000,394104487,0.140786,140.786445,2,openmp_needles,3.141581970
591156730,2,4.202187118,8.350780000,0.000274000,8.351054000,591156730,0.140678,140.678345,2,openmp_needles,3.141582377
886735095,2,6.224047549,12.352701000,0.000000000,12.352701000,886735095,0.142469,142.469203,2,openmp_needles,3.141583017
1330102642,2,9.404142290,18.675670000,0.000373000,18.676043000,1330102642,0.141438,141.437954,2,openmp_needles,3.141583041
400000,2,0.003119741,0.006052000,0.000000000,0.006052000,400000,0.128216,128.215772,2,openmp_needles,3.141270801
600000,2,0.006848713,0.012640000,0.000000000,0.012640000,600000,0.087608,87.607701,2,openmp_needles,3.141394151
900000,2,0.006170551,0.011262000,0.000281000,0.011543000,900000,0.145854,145.854074,2,openmp_needles,3.141799902
1350000,2,0.011058498,0.021100000,0.000434000,0.021534000,1350000,0.122078,122.078062,2,openmp_needles,3.141660985
2025000,2,0.017936136,0.034225000,0.000000000,0.034225000,2025000,0.112901,112.900571,2,openmp_needles,3.141561069
3037500,2,0.027694276,0.054456000,0.000000000,0.054456000,3037500,0.109680,109.679704,2,openmp_needles,3.141574066
4556250,2,0.037464057,0.073547000,0.000424000,0.073971000,4556250,0.121617,121.616567,2,openmp_needles,3.141613057
6834375,2,0.055528734,0.110532000,0.000000000,0.110532000,6834375,0.123078,123.078171,2,openmp_needles,3.141600060
10251562,2,0.078349741,0.155463000,0.000407000,0.155870000,10251562,0.130844,130.843598,2,openmp_needles,3.141597018
15377343,2,0.117734630,0.234821000,0.000000000,0.234821000,15377343,0.130610,130.610195,2,openmp_needles,3.141575517
23066015,2,0.169980057,0.338985000,0.000321000,0.339306000,23066015,0.135698,135.698360,2,openmp_needles,3.141588635
34599022,2,0.252626516,0.504627000,0.000342000,0.504969000,34599022,0.136957,136.957207,2,openmp_needles,3.141591443
51898533,2,0.379836725,0.755679000,0.000367000,0.756046000,51898533,0.136634,136.633794,2,openmp_needles,3.141577465
77847800,2,0.557467709,1.111714000,0.000456000,1.112170000,77847800,0.139645,139.645398,2,openmp_needles,3.141579387
116771700,2,0.840522052,1.672489000,0.000000000,1.672489000,116771700,0.138928,138.927586,2,openmp_needles,3.141581711
175157550,2,1.252918939,2.489256000,0.001456000,2.490712000,175157550,0.139800,139.799587,2,openmp_needles,3.141583796
262736325,2,1.853675608,3.695587000,0.000000000,3.695587000,262736325,0.141738,141.738028,2,openmp_needles,3.141581674
394104487,2,2.775980343,5.516861000,0.000022000,5.516883000,394104487,0.141969,141.969480,2,openmp_needles,3.141581845
591156730,2,4.163613120,8.292982000,0.000342000,8.293324000,591156730,0.141982,141.981667,2,openmp_needles,3.141582360
886735095,2,6.280591381,12.485130000,0.000309000,12.485439000,886735095,0.141187,141.186561,2,openmp_needles,3.141583006
1330102642,2,9.369595381,18.583934000,0.000266000,18.584200000,1330102642,0.141959,141.959454,2,openmp_needles,3.141582989
400000,2,0.003137964,0.005286000,0.000260000,0.005546000,400000,0.127471,127.471188,2,openmp_needles,3.141270801
600000,2,0.007507117,0.012659000,0.000406000,0.013065000,600000,0.079924,79.924157,2,openmp_needles,3.141394151
900000,2,0.006466987,0.012521000,0.000000000,0.012521000,900000,0.139168,139.168364,2,openmp_needles,3.141767000
1350000,2,0.013978703,0.023588000,0.000000000,0.023588000,1350000,0.096575,96.575483,2,openmp_needles,3.141682918
2025000,2,0.021027551,0.038066000,0.000258000,0.038324000,2025000,0.096302,96.302227,2,openmp_needles,3.141556195
3037500,2,0.025089638,0.049621000,0.000267000,0.049888000,3037500,0.121066,121.065916,2,openmp_needles,3.141577315
4556250,2,0.037918624,0.075259000,0.000370000,0.075629000,4556250,0.120159,120.158632,2,openmp_needles,3.141613057
6834375,2,0.053629334,0.106092000,0.000349000,0.106441000,6834375,0.127437,127.437253,2,openmp_needles,3.141602948
10251562,2,0.077837750,0.154971000,0.000000000,0.154971000,10251562,0.131704,131.704244,2,openmp_needles,3.141597981
15377343,2,0.115309236,0.230464000,0.000000000,0.230464000,15377343,0.133357,133.357427,2,openmp_needles,3.141574875
23066015,2,0.168190868,0.335521000,0.000304000,0.335825000,23066015,0.137142,137.141899,2,openmp_needles,3.141591203
34599022,2,0.253223649,0.505105000,0.000428000,0.505533000,34599022,0.136634,136.634245,2,openmp_needles,3.141593154
51898533,2,0.381801345,0.754323000,0.000000000,0.754323000,51898533,0.135931,135.930723,2,openmp_needles,3.141577085
77847800,2,0.569095013,1.131765000,0.000000000,1.131765000,77847800,0.136792,136.792272,2,openmp_needles,3.141579767
116771700,2,0.822551735,1.640284000,0.000000000,1.640284000,116771700,0.141963,141.962742,2,openmp_needles,3.141581204
175157550,2,1.247394361,2.462085000,0.000000000,2.462085000,175157550,0.140419,140.418744,2,openmp_needles,3.141583627
262736325,2,1.843074717,3.663400000,0.000000000,3.663400000,262736325,0.142553,142.553269,2,openmp_needles,3.141581674
394104487,2,2.750681954,5.455335000,0.001203000,5.456538000,394104487,0.143275,143.275193,2,openmp_needles,3.141581920
591156730,2,4.115836762,8.205478000,0.000378000,8.205856000,591156730,0.143630,143.629780,2,openmp_needles,3.141582377
886735095,2,6.296240839,12.423775000,0.000390000,12.424165000,886735095,0.140836,140.835638,2,openmp_needles,3.141583017
1330102642,2,9.294916071,18.379342000,0.001289000,18.380631000,1330102642,0.143100,143.100016,2,openmp_needles,3.141582952
400000,4,0.001642730,0.005166000,0.000000000,0.005166000,400000,0.243497,243.497105,2,openmp_needles,3.141961684
600000,4,0.003167009,0.011439000,0.000405000,0.011844000,600000,0.189453,189.453203,2,openmp_needles,3.141871194
900000,4,0.009367495,0.025999000,0.000204000,0.026203000,900000,0.096077,96.076913,2,openmp_needles,3.141569598
1350000,4,0.013111895,0.027613000,0.000000000,0.027613000,1350000,0.102960,102.959946,2,openmp_needles,3.141397806
2025000,4,0.010251602,0.038483000,0.000000000,0.038483000,2025000,0.197530,197.530103,2,openmp_needles,3.141634177
3037500,4,0.016032081,0.061492000,0.000000000,0.061492000,3037500,0.189464,189.463863,2,openmp_needles,3.141622805
4556250,4,0.024550333,0.093088000,0.000248000,0.093336000,4556250,0.185588,185.588114,2,openmp_needles,3.141610891
6834375,4,0.032672332,0.127757000,0.000000000,0.127757000,6834375,0.209179,209.179284,2,openmp_needles,3.141633275
10251562,4,0.045506417,0.181292000,0.000000000,0.181292000,10251562,0.225277,225.277283,2,openmp_needles,3.141566211
15377343,4,0.066264469,0.263767000,0.000000000,0.263767000,15377343,0.232060,232.060156,2,openmp_needles,3.141557546
23066015,4,0.096153572,0.382423000,0.000393000,0.382816000,23066015,0.239887,239.887240,2,openmp_needles,3.141598477
34599022,4,0.143027974,0.569839000,0.000000000,0.569839000,34599022,0.241904,241.903881,2,openmp_needles,3.141590016
51898533,4,0.212561242,0.848661000,0.000000000,0.848661000,51898533,0.244158,244.158025,2,openmp_needles,3.141583551
77847800,4,0.317422510,1.264396000,0.000000000,1.264396000,77847800,0.245250,245.249778,2,openmp_needles,3.141580274
116771700,4,0.474735810,1.886812000,0.000392000,1.887204000,116771700,0.245972,245.971965,2,openmp_needles,3.141584670
175157550,4,0.713498266,2.837946000,0.000414000,2.838360000,175157550,0.245491,245.491206,2,openmp_needles,3.141584810
262736325,4,1.069963449,4.243042000,0.000000000,4.243042000,262736325,0.245556,245.556355,2,openmp_needles,3.141582538
394104487,4,1.613477546,6.366095000,0.000000000,6.366095000,394104487,0.244258,244.257807,2,openmp_needles,3.141581770
591156730,4,2.398348470,9.534008000,0.000000000,9.534008000,591156730,0.246485,246.484920,2,openmp_needles,3.141582577
886735095,4,3.614671379,14.305175000,0.000424000,14.305599000,886735095,0.245316,245.315549,2,openmp_needles,3.141582850
1330102642,4,5.363003933,21.317423000,0.000307000,21.317730000,1330102642,0.248014,248.014482,2,openmp_needles,3.141583168
400000,4,0.001632371,0.005840000,0.000000000,0.005840000,400000,0.245042,245.042334,2,openmp_needles,3.141961684
600000,4,0.002712005,0.010074000,0.000000000,0.010074000,600000,0.221239,221.238530,2,openmp_needles,3.141805386
900000,4,0.008006392,0.021071000,0.000986000,0.022057000,900000,0.112410,112.410184,2,openmp_needles,3.141569598
1350000,4,0.006833433,0.025421000,0.000000000,0.025421000,1350000,0.197558,197.558094,2,openmp_needles,3.141397806
