size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
1229,2,0.073467440,0.145945000,0.000138000,0.146083000,3711153537,50.514262,20.559325,19,openmp
1229,2,0.074631477,0.147639000,0.000925000,0.148564000,3711153537,49.726385,20.238659,19,openmp
1229,2,0.073829223,0.147019000,0.000000000,0.147019000,3711153537,50.266729,20.458579,19,openmp
1229,2,0.074937575,0.148059000,0.000000000,0.148059000,3711153537,49.523267,20.155990,19,openmp
1229,2,0.074501261,0.148039000,0.000000000,0.148039000,3711153537,49.813298,20.274033,19,openmp
1229,2,0.074726226,0.148768000,0.000000000,0.148768000,3711153537,49.663334,20.212997,19,openmp
1229,4,0.050258957,0.197687000,0.000000000,0.197687000,3711153537,73.840640,30.053170,19,openmp
1229,4,0.049271072,0.194429000,0.000000000,0.194429000,3711153537,75.321145,30.655736,19,openmp
1229,4,0.051150641,0.201334000,0.000000000,0.201334000,3711153537,72.553412,29.529268,19,openmp
1229,4,0.051420430,0.203355000,0.000066000,0.203421000,3711153537,72.172744,29.374336,19,openmp
1229,4,0.048667082,0.190679000,0.001782000,0.192461000,3711153537,76.255929,31.036194,19,openmp
1229,4,0.047894364,0.190223000,0.000000000,0.190223000,3711153537,77.486227,31.536926,18,openmp
1229,4,0.046689659,0.183314000,0.000024000,0.183338000,3711153537,79.485557,32.350654,19,openmp
1229,4,0.044128504,0.175557000,0.000071000,0.175628000,3711153537,84.098784,34.228239,19,openmp
1229,4,0.051471557,0.202467000,0.000000000,0.202467000,3711153537,72.101055,29.345159,19,openmp
1229,4,0.048759176,0.191565000,0.000916000,0.192481000,3711153537,76.111900,30.977574,18,openmp
1229,8,0.056845141,0.417314000,0.000816000,0.418130000,3711153537,65.285326,26.571154,19,openmp
1229,8,0.058229965,0.404322000,0.000848000,0.405170000,3711153537,63.732711,25.939239,19,openmp
1229,8,0.060361719,0.376685000,0.000000000,0.376685000,3711153537,61.481906,25.023161,19,openmp
1229,8,0.067979800,0.451914000,0.000950000,0.452864000,3711153537,54.592004,22.218968,19,openmp
1229,8,0.043219529,0.300838000,0.000914000,0.301752000,3711153537,85.867515,34.948113,19,openmp
1229,8,0.045694611,0.318140000,0.001718000,0.319858000,3711153537,81.216438,33.055123,19,openmp
1229,8,0.048559860,0.315543000,0.000000000,0.315543000,3711153537,76.424305,31.104723,19,openmp
1229,8,0.046401355,0.331464000,0.001155000,0.332619000,3711153537,79.979422,32.551657,19,openmp
1229,8,0.042688717,0.314175000,0.000952000,0.315127000,3711153537,86.935232,35.382675,18,openmp
1229,8,0.045078458,0.321617000,0.000000000,0.321617000,3711153537,82.326541,33.506936,19,openmp
1229,12,0.042251411,0.362986000,0.000736000,0.363722000,3711153537,87.835020,35.748889,19,openmp
1229,12,0.038103120,0.367876000,0.001891000,0.369767000,3711153537,97.397629,39.640875,19,openmp
1229,12,0.050507727,0.451530000,0.000000000,0.451530000,3711153537,73.476946,29.905147,19,openmp
1229,12,0.046826188,0.400761000,0.000000000,0.400761000,3711153537,79.253804,32.256331,19,openmp
1229,12,0.047370776,0.392262000,0.000858000,0.393120000,3711153537,78.342680,31.885503,19,openmp
1229,12,0.041518507,0.366747000,0.003470000,0.370217000,3711153537,89.385525,36.379945,19,openmp
1229,12,0.042969597,0.354889000,0.000768000,0.355657000,3711153537,86.366962,35.151389,19,openmp
1229,12,0.048210140,0.428384000,0.000650000,0.429034000,3711153537,76.978692,31.330359,19,openmp
1229,12,0.047820915,0.399229000,0.000000000,0.399229000,3711153537,77.605239,31.585364,19,openmp
1229,12,0.049791565,0.426833000,0.000806000,0.427639000,3711153537,74.533780,30.335279,19,openmp
1658,2,0.192137542,0.383296000,0.000000000,0.383296000,9112815660,47.428605,14.307272,33,openmp
1658,2,0.193769494,0.387178000,0.000182000,0.387360000,9112815660,47.029155,14.186774,33,openmp
1658,2,0.179608881,0.358584000,0.000000000,0.358584000,9112815660,50.736999,15.305279,33,openmp
1658,2,0.186861362,0.372573000,0.000140000,0.372713000,9112815660,48.767790,14.711249,33,openmp
1658,2,0.180275970,0.360318000,0.000000000,0.360318000,9112815660,50.549253,15.248644,33,openmp
1658,2,0.194921148,0.387890000,0.000901000,0.388791000,9112815660,46.751293,14.102954,33,openmp
1658,2,0.182925332,0.365582000,0.000042000,0.365624000,9112815660,49.817133,15.027793,33,openmp
1658,2,0.167961404,0.335610000,0.000000000,0.335610000,9112815660,54.255415,16.366641,33,openmp
1658,2,0.188846901,0.377263000,0.000040000,0.377303000,9112815660,48.255045,14.556575,33,openmp
1658,2,0.184253039,0.367462000,0.000000000,0.367462000,9112815660,49.458157,14.919504,33,openmp
1658,4,0.120714412,0.481219000,0.000000000,0.481219000,9112815660,75.490702,22.772459,33,openmp
1658,4,0.115090696,0.457838000,0.000000000,0.457838000,9112815660,79.179430,23.885197,33,openmp
1658,4,0.106430517,0.423749000,0.000144000,0.423893000,9112815660,85.622206,25.828720,33,openmp
1658,4,0.122425782,0.486843000,0.000085000,0.486928000,9112815660,74.435429,22.454127,33,openmp
1658,4,0.119426020,0.475378000,0.000045000,0.475423000,9112815660,76.305111,23.018133,33,openmp
1658,4,0.115634382,0.459990000,0.000066000,0.460056000,9112815660,78.807146,23.772895,33,openmp
1658,4,0.110552479,0.439335000,0.000783000,0.440118000,9112815660,82.429772,24.865693,33,openmp
1658,4,0.108148661,0.430221000,0.000000000,0.430221000,9112815660,84.261937,25.418382,33,openmp
1658,4,0.109003484,0.435329000,0.000045000,0.435374000,9112815660,83.601141,25.219047,33,openmp
1658,4,0.115498415,0.461429000,0.000000000,0.461429000,9112815660,78.899920,23.800881,33,openmp
1658,8,0.096690390,0.702673000,0.000000000,0.702673000,9112815660,94.247377,28.430581,33,openmp
1658,8,0.095940675,0.687061000,0.000000000,0.687061000,9112815660,94.983860,28.652748,33,openmp
1658,8,0.099377964,0.693343000,0.000000000,0.693343000,9112815660,91.698555,27.661706,33,openmp
1658,8,0.109042548,0.720036000,0.000000000,0.720036000,9112815660,83.571191,25.210013,33,openmp
1658,8,0.103102725,0.720262000,0.001061000,0.721323000,9112815660,88.385789,26.662380,33,openmp
1658,8,0.100999885,0.723531000,0.000838000,0.724369000,9112815660,90.226000,27.217496,33,openmp
1658,8,0.112044065,0.745215000,0.000000000,0.745215000,9112815660,81.332426,24.534669,33,openmp
1658,8,0.113239802,0.733104000,0.000020000,0.733124000,9112815660,80.473610,24.275599,33,openmp
1658,8,0.113480056,0.725874000,0.000000000,0.725874000,9112815660,80.303235,24.224204,33,openmp
1658,8,0.122380067,0.745385000,0.000940000,0.746325000,9112815660,74.463235,22.462514,33,openmp
1658,12,0.087469162,0.885033000,0.000719000,0.885752000,9112815660,104.183182,31.427808,33,openmp
1658,12,0.095629367,0.874325000,0.002847000,0.877172000,9112815660,95.293067,28.746023,33,openmp
1658,12,0.112187645,1.162160000,0.001811000,1.163971000,9112815660,81.228335,24.503269,33,openmp
1658,12,0.089144586,0.927335000,0.003640000,0.930975000,9112815660,102.225116,30.837139,33,openmp
1658,12,0.097062502,0.993641000,0.002723000,0.996364000,9112815660,93.886058,28.321586,33,openmp
1658,12,0.093189371,0.923141000,0.003904000,0.927045000,9112815660,97.788144,29.498686,33,openmp
1658,12,0.123048819,0.875420000,0.001761000,0.877181000,9112815660,74.058538,22.340434,33,openmp
1658,12,0.095127760,0.960597000,0.002660000,0.963257000,9112815660,95.795545,28.897600,33,openmp
1658,12,0.097491943,0.969923000,0.000788000,0.970711000,9112815660,93.472500,28.196833,33,openmp
1658,12,0.107043044,0.984192000,0.000904000,0.985096000,9112815660,85.132254,25.680921,33,openmp
2239,2,1.325425857,2.622064000,0.007018000,2.629082000,22443742717,16.933231,3.782272,59,openmp
2239,2,1.261059218,2.507466000,0.004115000,2.511581000,22443742717,17.797533,3.975326,59,openmp
2239,2,1.254522409,2.492309000,0.003934000,2.496243000,22443742717,17.890268,3.996039,58,openmp
2239,2,1.113119050,2.217858000,0.005138000,2.222996000,22443742717,20.162931,4.503670,59,openmp
2239,2,1.037001907,2.072730000,0.000000000,2.072730000,22443742717,21.642914,4.834245,59,openmp
2239,2,1.007699020,2.012491000,0.001840000,2.014331000,22443742717,22.272268,4.974820,59,openmp
2239,2,1.033967771,2.059535000,0.007115000,2.066650000,22443742717,21.706424,4.848431,59,openmp
2239,2,1.108492048,2.207164000,0.001971000,2.209135000,22443742717,20.247094,4.522469,59,openmp
2239,2,1.183048817,2.356093000,0.001975000,2.358068000,22443742717,18.971104,4.237459,59,openmp
2239,2,1.143636205,2.248490000,0.003967000,2.252457000,22443742717,19.624897,4.383493,59,openmp
2239,4,0.678463292,2.701306000,0.002223000,2.703529000,22443742717,33.080261,7.388935,59,openmp
2239,4,0.569928511,2.259658000,0.005818000,2.265476000,22443742717,39.379926,8.796052,59,openmp
2239,4,0.652091098,2.594946000,0.005951000,2.600897000,22443742717,34.418109,7.687762,59,openmp
2239,4,0.732671959,2.901085000,0.003018000,2.904103000,22443742717,30.632731,6.842245,59,openmp
2239,4,0.645474658,2.574771000,0.000123000,2.574894000,22443742717,34.770912,7.766565,58,openmp
2239,4,0.691481280,2.747751000,0.004778000,2.752529000,22443742717,32.457484,7.249829,58,openmp
2239,4,0.617474851,2.457072000,0.000982000,2.458054000,22443742717,36.347622,8.118745,59,openmp
2239,4,0.655859063,2.610463000,0.001848000,2.612311000,22443742717,34.220374,7.643595,59,openmp
2239,4,0.646507839,2.561459000,0.004903000,2.566362000,22443742717,34.715345,7.754153,58,openmp
2239,4,0.671010526,2.673999000,0.003071000,2.677070000,22443742717,33.447676,7.471002,59,openmp
2239,8,0.422015954,3.155276000,0.008932000,3.164208000,22443742717,53.182214,11.878985,59,openmp
2239,8,0.408342030,3.102080000,0.007403000,3.109483000,22443742717,54.963097,12.276770,59,openmp
2239,8,0.413837295,3.093657000,0.008956000,3.102613000,22443742717,54.233253,12.113749,59,openmp
2239,8,0.468090053,3.532397000,0.008044000,3.540441000,22443742717,47.947489,10.709736,59,openmp
2239,8,0.427716004,3.274663000,0.010883000,3.285546000,22443742717,52.473470,11.720677,59,openmp
2239,8,0.372167991,2.776359000,0.002955000,2.779314000,22443742717,60.305408,13.470049,59,openmp
2239,8,0.335391093,2.606772000,0.002878000,2.609650000,22443742717,66.918124,14.947090,59,openmp
2239,8,0.339829973,2.578498000,0.001172000,2.579670000,22443742717,66.044035,14.751851,59,openmp
2239,8,0.329053139,2.516965000,0.006008000,2.522973000,22443742717,68.207046,15.234989,59,openmp
2239,8,0.374275360,2.892981000,0.000860000,2.893841000,22443742717,59.965857,13.394205,59,openmp
2239,12,0.325597756,3.701916000,0.006838000,3.708754000,22443742717,68.930889,15.396669,59,openmp
2239,12,0.367700378,3.751938000,0.001987000,3.753925000,22443742717,61.038128,13.633712,59,openmp
2239,12,0.328600585,3.668817000,0.003906000,3.672723000,22443742717,68.300982,15.255971,59,openmp
2239,12,0.310570407,3.533178000,0.006878000,3.540056000,22443742717,72.266199,16.141657,59,openmp
2239,12,0.313928487,3.594164000,0.005803000,3.599967000,22443742717,71.493170,15.968990,59,openmp
