modo,algoritmo,tamaño,workers,iteracion,tiempo
Procesos,Needles,23066015,12,3,0.0874
Procesos,Needles,34599022,12,3,0.1109
Procesos,Needles,51898533,12,3,0.1574
Procesos,Needles,77847800,12,3,0.2213
Procesos,Needles,116771700,12,3,0.3291
Procesos,Needles,400000,12,4,0.0038
Procesos,Needles,600000,12,4,0.0046
Procesos,Needles,900000,12,4,0.0079
Procesos,Needles,1350000,12,4,0.0089
Procesos,Needles,2025000,12,4,0.0111
Procesos,Needles,3037500,12,4,0.0165
Procesos,Needles,4556250,12,4,0.0195
Procesos,Needles,6834375,12,4,0.0365
Procesos,Needles,10251562,12,4,0.0433
Procesos,Needles,15377343,12,4,0.0600
Procesos,Needles,23066015,12,4,0.0870
Procesos,Needles,34599022,12,4,0.1119
Procesos,Needles,51898533,12,4,0.1640
Procesos,Needles,77847800,12,4,0.2308
Procesos,Needles,116771700,12,4,0.3350
Procesos,Needles,400000,12,5,0.0043
Procesos,Needles,600000,12,5,0.0065
Procesos,Needles,900000,12,5,0.0075
Procesos,Needles,1350000,12,5,0.0083
Procesos,Needles,2025000,12,5,0.0102
Procesos,Needles,3037500,12,5,0.0211
Procesos,Needles,4556250,12,5,0.0207
Procesos,Needles,6834375,12,5,0.0379
Procesos,Needles,10251562,12,5,0.0450
Procesos,Needles,15377343,12,5,0.0607
Procesos,Needles,23066015,12,5,0.0839
Procesos,Needles,34599022,12,5,0.1147
Procesos,Needles,51898533,12,5,0.1592
Procesos,Needles,77847800,12,5,0.2262
Procesos,Needles,116771700,12,5,0.3255
Procesos,Needles,400000,12,6,0.0042
Procesos,Needles,600000,12,6,0.0058
Procesos,Needles,900000,12,6,0.0071
Procesos,Needles,1350000,12,6,0.0097
Procesos,Needles,2025000,12,6,0.0141
Procesos,Needles,3037500,12,6,0.0156
Procesos,Needles,4556250,12,6,0.0265
Procesos,Needles,6834375,12,6,0.0331
Procesos,Needles,10251562,12,6,0.0502
Procesos,Needles,15377343,12,6,0.0608
Procesos,Needles,23066015,12,6,0.0758
Procesos,Needles,34599022,12,6,0.1149
Procesos,Needles,51898533,12,6,0.1577
Procesos,Needles,77847800,12,6,0.2305
Procesos,Needles,116771700,12,6,0.3220
Procesos,Needles,400000,12,7,0.0040
Procesos,Needles,600000,12,7,0.0065
Procesos,Needles,900000,12,7,0.0085
Procesos,Needles,1350000,12,7,0.0103
Procesos,Needles,2025000,12,7,0.0152
Procesos,Needles,3037500,12,7,0.0149
Procesos,Needles,4556250,12,7,0.0250
Procesos,Needles,6834375,12,7,0.0331
Procesos,Needles,10251562,12,7,0.0465
Procesos,Needles,15377343,12,7,0.0618
Procesos,Needles,23066015,12,7,0.0823
Procesos,Needles,34599022,12,7,0.1141
Procesos,Needles,51898533,12,7,0.1598
Procesos,Needles,77847800,12,7,0.2264
Procesos,Needles,116771700,12,7,0.3247
Procesos,Needles,400000,12,8,0.0043
Procesos,Needles,600000,12,8,0.0059
Procesos,Needles,900000,12,8,0.0085
Procesos,Needles,1350000,12,8,0.0085
Procesos,Needles,2025000,12,8,0.0083
Procesos,Needles,3037500,12,8,0.0198
Procesos,Needles,4556250,12,8,0.0172
Procesos,Needles,6834375,12,8,0.0335
Procesos,Needles,10251562,12,8,0.0464
Procesos,Needles,15377343,12,8,0.0663
Procesos,Needles,23066015,12,8,0.0830
Procesos,Needles,34599022,12,8,0.1190
Procesos,Needles,51898533,12,8,0.1575
Procesos,Needles,77847800,12,8,0.2238
Procesos,Needles,116771700,12,8,0.3422
Procesos,Needles,400000,12,9,0.0036
Procesos,Needles,600000,12,9,0.0049
Procesos,Needles,900000,12,9,0.0071
Procesos,Needles,1350000,12,9,0.0098
Procesos,Needles,2025000,12,9,0.0104
