size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
4556250,2,0.022780196,0.044620000,0.000192000,0.044812000,4556250,0.200009,200.009254,1,openmp_dartboard,3.141557202
6834375,2,0.031938878,0.063108000,0.000000000,0.063108000,6834375,0.213983,213.982940,1,openmp_dartboard,3.141586465
10251562,2,0.046609103,0.092755000,0.000000000,0.092755000,10251562,0.219948,219.947636,1,openmp_dartboard,3.141573157
15377343,2,0.068751089,0.136063000,0.000475000,0.136538000,15377343,0.223667,223.666901,1,openmp_dartboard,3.141591366
23066015,2,0.098083435,0.195152000,0.000000000,0.195152000,23066015,0.235167,235.167284,1,openmp_dartboard,3.141596327
34599022,2,0.143622867,0.287178000,0.000000000,0.287178000,34599022,0.240902,240.901903,1,openmp_dartboard,3.141594580
51898533,2,0.214230918,0.427397000,0.000433000,0.427830000,51898533,0.242255,242.255103,1,openmp_dartboard,3.141590534
77847800,2,0.318534054,0.636743000,0.000000000,0.636743000,77847800,0.244394,244.393964,1,openmp_dartboard,3.141589409
116771700,2,0.477067827,0.953826000,0.000000000,0.953826000,116771700,0.244770,244.769598,1,openmp_dartboard,3.141587251
175157550,2,0.711287540,1.421393000,0.000518000,1.421911000,175157550,0.246254,246.254208,1,openmp_dartboard,3.141588907
262736325,2,1.063249495,2.126018000,0.000000000,2.126018000,262736325,0.247107,247.106936,1,openmp_dartboard,3.141587095
394104487,2,1.612302607,3.224361000,0.000000000,3.224361000,394104487,0.244436,244.435806,1,openmp_dartboard,3.141587353
591156730,2,2.418494932,4.822846000,0.000000000,4.822846000,591156730,0.244432,244.431660,1,openmp_dartboard,3.141588059
886735095,2,3.595957169,7.190832000,0.000309000,7.191141000,886735095,0.246592,246.592229,1,openmp_dartboard,3.141587705
1330102642,2,5.390409905,10.762861000,0.000000000,10.762861000,1330102642,0.246754,246.753524,1,openmp_dartboard,3.141587667
400000,2,0.001726897,0.002864000,0.000000000,0.002864000,400000,0.231629,231.629333,1,openmp_dartboard,3.141550000
600000,2,0.002702181,0.004069000,0.000562000,0.004631000,600000,0.222043,222.042861,1,openmp_dartboard,3.141386667
900000,2,0.008820875,0.011891000,0.000337000,0.012228000,900000,0.102031,102.030694,1,openmp_dartboard,3.141440000
1350000,2,0.005481596,0.009828000,0.000518000,0.010346000,1350000,0.246279,246.278639,1,openmp_dartboard,3.141472593
2025000,2,0.010527333,0.019845000,0.000505000,0.020350000,2025000,0.192356,192.356412,1,openmp_dartboard,3.141568395
3037500,2,0.014765271,0.028826000,0.000462000,0.029288000,3037500,0.205719,205.719218,1,openmp_dartboard,3.141584856
4556250,2,0.019299196,0.037726000,0.000463000,0.038189000,4556250,0.236085,236.084964,1,openmp_dartboard,3.141554568
6834375,2,0.034121324,0.067909000,0.000000000,0.067909000,6834375,0.200296,200.296302,1,openmp_dartboard,3.141588221
10251562,2,0.053958861,0.107253000,0.000486000,0.107739000,10251562,0.189988,189.988480,1,openmp_dartboard,3.141575498
15377343,2,0.073000843,0.145179000,0.000000000,0.145179000,15377343,0.210646,210.646102,1,openmp_dartboard,3.141591106
23066015,2,0.098542856,0.196696000,0.000000000,0.196696000,23066015,0.234071,234.070900,1,openmp_dartboard,3.141595980
34599022,2,0.144557389,0.287819000,0.000443000,0.288262000,34599022,0.239345,239.344542,1,openmp_dartboard,3.141594812
51898533,2,0.213856520,0.426939000,0.000000000,0.426939000,51898533,0.242679,242.679218,1,openmp_dartboard,3.141590611
77847800,2,0.319507508,0.638409000,0.000000000,0.638409000,77847800,0.243649,243.649361,1,openmp_dartboard,3.141589409
116771700,2,0.484542626,0.968573000,0.000000000,0.968573000,116771700,0.240994,240.993658,1,openmp_dartboard,3.141587285
175157550,2,0.710478778,1.420808000,0.000000000,1.420808000,175157550,0.246535,246.534528,1,openmp_dartboard,3.141588998
262736325,2,1.092822489,2.171095000,0.000000000,2.171095000,262736325,0.240420,240.419947,1,openmp_dartboard,3.141587065
394104487,2,1.618575270,3.222809000,0.000000000,3.222809000,394104487,0.243489,243.488514,1,openmp_dartboard,3.141587343
591156730,2,2.404568641,4.808515000,0.000345000,4.808860000,591156730,0.245847,245.847309,1,openmp_dartboard,3.141588066
886735095,2,3.601355929,7.202195000,0.000245000,7.202440000,886735095,0.246223,246.222565,1,openmp_dartboard,3.141587732
1330102642,2,5.383879365,10.765711000,0.000000000,10.765711000,1330102642,0.247053,247.052832,1,openmp_dartboard,3.141587628
400000,2,0.001811375,0.002679000,0.000000000,0.002679000,400000,0.220827,220.826720,1,openmp_dartboard,3.141570000
600000,2,0.002851190,0.005002000,0.000346000,0.005348000,600000,0.210438,210.438449,1,openmp_dartboard,3.141413333
900000,2,0.005932292,0.010190000,0.000358000,0.010548000,900000,0.151712,151.712020,1,openmp_dartboard,3.141408889
1350000,2,0.005741864,0.010861000,0.000000000,0.010861000,1350000,0.235115,235.115287,1,openmp_dartboard,3.141502222
2025000,2,0.009840609,0.018798000,0.000325000,0.019123000,2025000,0.205780,205.779947,1,openmp_dartboard,3.141564444
3037500,2,0.018576462,0.033623000,0.000000000,0.033623000,3037500,0.163513,163.513375,1,openmp_dartboard,3.141579588
4556250,2,0.025037008,0.047607000,0.000335000,0.047942000,4556250,0.181981,181.980610,1,openmp_dartboard,3.141553690
6834375,2,0.033040924,0.065234000,0.000433000,0.065667000,6834375,0.206846,206.845759,1,openmp_dartboard,3.141580027
10251562,2,0.048823985,0.097051000,0.000473000,0.097524000,10251562,0.209970,209.969793,1,openmp_dartboard,3.141572767
15377343,2,0.067865041,0.133878000,0.000995000,0.134873000,15377343,0.226587,226.587102,1,openmp_dartboard,3.141588244
23066015,2,0.098204626,0.195388000,0.000000000,0.195388000,23066015,0.234877,234.877072,1,openmp_dartboard,3.141595286
34599022,2,0.146245849,0.292200000,0.000000000,0.292200000,34599022,0.236581,236.581224,1,openmp_dartboard,3.141595158
51898533,2,0.216762765,0.432126000,0.000457000,0.432583000,51898533,0.239425,239.425498,1,openmp_dartboard,3.141590303
77847800,2,0.319344369,0.638469000,0.000000000,0.638469000,77847800,0.243774,243.773830,1,openmp_dartboard,3.141589204
116771700,2,0.478036169,0.955179000,0.000000000,0.955179000,116771700,0.244274,244.273776,1,openmp_dartboard,3.141587217
175157550,2,0.714718043,1.429049000,0.000000000,1.429049000,175157550,0.245072,245.072238,1,openmp_dartboard,3.141588770
262736325,2,1.064396987,2.128534000,0.000000000,2.128534000,262736325,0.246841,246.840538,1,openmp_dartboard,3.141587049
394104487,2,1.603473044,3.205339000,0.000999000,3.206338000,394104487,0.245782,245.781798,1,openmp_dartboard,3.141587434
591156730,2,2.399300410,4.797253000,0.000484000,4.797737000,591156730,0.246387,246.387125,1,openmp_dartboard,3.141588059
886735095,2,3.604412777,7.208606000,0.000000000,7.208606000,886735095,0.246014,246.013748,1,openmp_dartboard,3.141587759
1330102642,2,5.417403279,10.806837000,0.000000000,10.806837000,1330102642,0.245524,245.524022,1,openmp_dartboard,3.141587631
