modo,algoritmo,tamaño,workers,iteracion,tiempo
OpenMP,Needles,6834375,4,2,0.0417
OpenMP,Needles,10251562,4,2,0.0499
OpenMP,Needles,15377343,4,2,0.0701
OpenMP,Needles,23066015,4,2,0.1023
OpenMP,Needles,34599022,4,2,0.1469
OpenMP,Needles,51898533,4,2,0.2196
OpenMP,Needles,77847800,4,2,0.3410
OpenMP,Needles,116771700,4,2,0.4852
OpenMP,Needles,175157550,4,2,0.7265
OpenMP,Needles,262736325,4,2,1.0878
OpenMP,Needles,394104487,4,2,1.6184
OpenMP,Needles,591156730,4,2,2.4171
OpenMP,Needles,886735095,4,2,3.6201
OpenMP,Needles,1330102642,4,2,5.3805
OpenMP,Needles,400000,4,3,0.0036
OpenMP,Needles,600000,4,3,0.0047
OpenMP,Needles,900000,4,3,0.0091
OpenMP,Needles,1350000,4,3,0.0071
OpenMP,Needles,2025000,4,3,0.0149
OpenMP,Needles,3037500,4,3,0.0188
OpenMP,Needles,4556250,4,3,0.0296
OpenMP,Needles,6834375,4,3,0.0343
OpenMP,Needles,10251562,4,3,0.0551
OpenMP,Needles,15377343,4,3,0.0703
OpenMP,Needles,23066015,4,3,0.1013
OpenMP,Needles,34599022,4,3,0.1460
OpenMP,Needles,51898533,4,3,0.2172
OpenMP,Needles,77847800,4,3,0.3228
OpenMP,Needles,116771700,4,3,0.4869
OpenMP,Needles,175157550,4,3,0.7804
OpenMP,Needles,262736325,4,3,1.0782
OpenMP,Needles,394104487,4,3,1.6170
OpenMP,Needles,591156730,4,3,2.4136
OpenMP,Needles,886735095,4,3,3.6106
OpenMP,Needles,1330102642,4,3,5.3714
OpenMP,Needles,400000,4,4,0.0034
OpenMP,Needles,600000,4,4,0.0040
OpenMP,Needles,900000,4,4,0.0079
OpenMP,Needles,1350000,4,4,0.0090
OpenMP,Needles,2025000,4,4,0.0131
OpenMP,Needles,3037500,4,4,0.0189
OpenMP,Needles,4556250,4,4,0.0231
OpenMP,Needles,6834375,4,4,0.0357
OpenMP,Needles,10251562,4,4,0.0524
OpenMP,Needles,15377343,4,4,0.0678
OpenMP,Needles,23066015,4,4,0.0991
OpenMP,Needles,34599022,4,4,0.1497
OpenMP,Needles,51898533,4,4,0.2189
OpenMP,Needles,77847800,4,4,0.3237
OpenMP,Needles,116771700,4,4,0.4819
OpenMP,Needles,175157550,4,4,0.7178
OpenMP,Needles,262736325,4,4,1.0844
OpenMP,Needles,394104487,4,4,1.6345
OpenMP,Needles,591156730,4,4,2.4164
OpenMP,Needles,886735095,4,4,3.5996
OpenMP,Needles,1330102642,4,4,5.3790
OpenMP,Needles,400000,4,5,0.0035
OpenMP,Needles,600000,4,5,0.0042
OpenMP,Needles,900000,4,5,0.0118
OpenMP,Needles,1350000,4,5,0.0070
OpenMP,Needles,2025000,4,5,0.0116
OpenMP,Needles,3037500,4,5,0.0186
OpenMP,Needles,4556250,4,5,0.0291
OpenMP,Needles,6834375,4,5,0.0376
OpenMP,Needles,10251562,4,5,0.0499
OpenMP,Needles,15377343,4,5,0.0675
OpenMP,Needles,23066015,4,5,0.1034
OpenMP,Needles,34599022,4,5,0.1506
OpenMP,Needles,51898533,4,5,0.2188
OpenMP,Needles,77847800,4,5,0.3249
OpenMP,Needles,116771700,4,5,0.4878
OpenMP,Needles,175157550,4,5,0.7233
OpenMP,Needles,262736325,4,5,1.0792
OpenMP,Needles,394104487,4,5,1.7313
OpenMP,Needles,591156730,4,5,2.3956
OpenMP,Needles,886735095,4,5,3.5864
OpenMP,Needles,1330102642,4,5,5.3544
OpenMP,Needles,400000,4,6,0.0031
OpenMP,Needles,600000,4,6,0.0040
OpenMP,Needles,900000,4,6,0.0104
OpenMP,Needles,1350000,4,6,0.0067
OpenMP,Needles,2025000,4,6,0.0160
OpenMP,Needles,3037500,4,6,0.0181
OpenMP,Needles,4556250,4,6,0.0273
OpenMP,Needles,6834375,4,6,0.0370
OpenMP,Needles,10251562,4,6,0.0557
OpenMP,Needles,15377343,4,6,0.0695
OpenMP,Needles,23066015,4,6,0.0990
OpenMP,Needles,34599022,4,6,0.1516
OpenMP,Needles,51898533,4,6,0.2201
OpenMP,Needles,77847800,4,6,0.3248
OpenMP,Needles,116771700,4,6,0.4844
OpenMP,Needles,175157550,4,6,0.7226
OpenMP,Needles,262736325,4,6,1.0788
OpenMP,Needles,394104487,4,6,1.6119
OpenMP,Needles,591156730,4,6,2.4078
OpenMP,Needles,886735095,4,6,3.6112
OpenMP,Needles,1330102642,4,6,5.3905
OpenMP,Needles,400000,4,7,0.0034
OpenMP,Needles,600000,4,7,0.0050
OpenMP,Needles,900000,4,7,0.0084
OpenMP,Needles,1350000,4,7,0.0088
OpenMP,Needles,2025000,4,7,0.0180
OpenMP,Needles,3037500,4,7,0.0243
OpenMP,Needles,4556250,4,7,0.0230
OpenMP,Needles,6834375,4,7,0.0403
OpenMP,Needles,10251562,4,7,0.0533
OpenMP,Needles,15377343,4,7,0.0718
OpenMP,Needles,23066015,4,7,0.1044
OpenMP,Needles,34599022,4,7,0.1532
OpenMP,Needles,51898533,4,7,0.2225
OpenMP,Needles,77847800,4,7,0.3289
OpenMP,Needles,116771700,4,7,0.4908
OpenMP,Needles,175157550,4,7,0.7305
OpenMP,Needles,262736325,4,7,1.0986
OpenMP,Needles,394104487,4,7,1.6439
OpenMP,Needles,591156730,4,7,2.4448
OpenMP,Needles,886735095,4,7,3.6590
OpenMP,Needles,1330102642,4,7,5.4816
OpenMP,Needles,400000,4,8,0.0037
OpenMP,Needles,600000,4,8,0.0040
OpenMP,Needles,900000,4,8,0.0080
OpenMP,Needles,1350000,4,8,0.0099
OpenMP,Needles,2025000,4,8,0.0145
OpenMP,Needles,3037500,4,8,0.0199
OpenMP,Needles,4556250,4,8,0.0294
OpenMP,Needles,6834375,4,8,0.0358
OpenMP,Needles,10251562,4,8,0.0491
OpenMP,Needles,15377343,4,8,0.0712
OpenMP,Needles,23066015,4,8,0.1033
OpenMP,Needles,34599022,4,8,0.1543
OpenMP,Needles,51898533,4,8,0.2257
OpenMP,Needles,77847800,4,8,0.3391
OpenMP,Needles,116771700,4,8,0.5013
OpenMP,Needles,175157550,4,8,0.7591
OpenMP,Needles,262736325,4,8,1.1089
OpenMP,Needles,394104487,4,8,1.6348
OpenMP,Needles,591156730,4,8,2.4428
OpenMP,Needles,886735095,4,8,3.7264
OpenMP,Needles,1330102642,4,8,5.6004
OpenMP,Needles,400000,4,9,0.0036
OpenMP,Needles,600000,4,9,0.0043
OpenMP,Needles,900000,4,9,0.0104
OpenMP,Needles,1350000,4,9,0.0070
OpenMP,Needles,2025000,4,9,0.0161
OpenMP,Needles,3037500,4,9,0.0243
OpenMP,Needles,4556250,4,9,0.0289
OpenMP,Needles,6834375,4,9,0.0363
OpenMP,Needles,10251562,4,9,0.0507
OpenMP,Needles,15377343,4,9,0.0712
OpenMP,Needles,23066015,4,9,0.1048
OpenMP,Needles,34599022,4,9,0.1526
OpenMP,Needles,51898533,4,9,0.2241
OpenMP,Needles,77847800,4,9,0.3433
OpenMP,Needles,116771700,4,9,0.5148
OpenMP,Needles,175157550,4,9,0.7392
OpenMP,Needles,262736325,4,9,1.1284
OpenMP,Needles,394104487,4,9,1.6419
OpenMP,Needles,591156730,4,9,2.5155
OpenMP,Needles,886735095,4,9,3.7537
OpenMP,Needles,1330102642,4,9,5.6275
OpenMP,Needles,400000,4,10,0.0034
OpenMP,Needles,600000,4,10,0.0038
OpenMP,Needles,900000,4,10,0.0103
OpenMP,Needles,1350000,4,10,0.0077
OpenMP,Needles,2025000,4,10,0.0157
OpenMP,Needles,3037500,4,10,0.0217
OpenMP,Needles,4556250,4,10,0.0284
OpenMP,Needles,6834375,4,10,0.0349
OpenMP,Needles,10251562,4,10,0.0499
OpenMP,Needles,15377343,4,10,0.0693
OpenMP,Needles,23066015,4,10,0.0999
OpenMP,Needles,34599022,4,10,0.1526
OpenMP,Needles,51898533,4,10,0.2246
OpenMP,Needles,77847800,4,10,0.3353
OpenMP,Needles,116771700,4,10,0.5098
OpenMP,Needles,175157550,4,10,0.7814
OpenMP,Needles,262736325,4,10,1.1294
OpenMP,Needles,394104487,4,10,1.7044
OpenMP,Needles,591156730,4,10,2.5120
OpenMP,Needles,886735095,4,10,3.7578
OpenMP,Needles,1330102642,4,10,5.6179
OpenMP,Needles,400000,8,1,0.0029
OpenMP,Needles,600000,8,1,0.0035
OpenMP,Needles,900000,8,1,0.0106
OpenMP,Needles,1350000,8,1,0.0072
OpenMP,Needles,2025000,8,1,0.0075
OpenMP,Needles,3037500,8,1,0.0232
OpenMP,Needles,4556250,8,1,0.0172
OpenMP,Needles,6834375,8,1,0.0346
OpenMP,Needles,10251562,8,1,0.0427
OpenMP,Needles,15377343,8,1,0.0520
OpenMP,Needles,23066015,8,1,0.0783
OpenMP,Needles,34599022,8,1,0.1106
OpenMP,Needles,51898533,8,1,0.1601
OpenMP,Needles,77847800,8,1,0.2440
OpenMP,Needles,116771700,8,1,0.3564
OpenMP,Needles,175157550,8,1,0.5252
OpenMP,Needles,262736325,8,1,0.7802
OpenMP,Needles,394104487,8,1,1.1620
OpenMP,Needles,591156730,8,1,1.7453
OpenMP,Needles,886735095,8,1,2.6259
OpenMP,Needles,1330102642,8,1,3.9073
OpenMP,Needles,400000,8,2,0.0029
OpenMP,Needles,600000,8,2,0.0032
OpenMP,Needles,900000,8,2,0.0049
OpenMP,Needles,1350000,8,2,0.0106
OpenMP,Needles,2025000,8,2,0.0079
OpenMP,Needles,3037500,8,2,0.0214
OpenMP,Needles,4556250,8,2,0.0166
OpenMP,Needles,6834375,8,2,0.0344
OpenMP,Needles,10251562,8,2,0.0443
OpenMP,Needles,15377343,8,2,0.0589
OpenMP,Needles,23066015,8,2,0.0893
OpenMP,Needles,34599022,8,2,0.1069
OpenMP,Needles,51898533,8,2,0.1753
OpenMP,Needles,77847800,8,2,0.2390
OpenMP,Needles,116771700,8,2,0.3619
OpenMP,Needles,175157550,8,2,0.5175
OpenMP,Needles,262736325,8,2,0.7885
OpenMP,Needles,394104487,8,2,1.1858
OpenMP,Needles,591156730,8,2,1.7868
OpenMP,Needles,886735095,8,2,2.5948
OpenMP,Needles,1330102642,8,2,3.9550
OpenMP,Needles,400000,8,3,0.0032
OpenMP,Needles,600000,8,3,0.0047
OpenMP,Needles,900000,8,3,0.0159
OpenMP,Needles,1350000,8,3,0.0162
OpenMP,Needles,2025000,8,3,0.0089
OpenMP,Needles,3037500,8,3,0.0138
OpenMP,Needles,4556250,8,3,0.0214
OpenMP,Needles,6834375,8,3,0.0348
OpenMP,Needles,10251562,8,3,0.0357
OpenMP,Needles,15377343,8,3,0.0566
OpenMP,Needles,23066015,8,3,0.0967
OpenMP,Needles,34599022,8,3,0.1163
OpenMP,Needles,51898533,8,3,0.1781
OpenMP,Needles,77847800,8,3,0.2473
OpenMP,Needles,116771700,8,3,0.3747
OpenMP,Needles,175157550,8,3,0.5630
OpenMP,Needles,262736325,8,3,0.8116
OpenMP,Needles,394104487,8,3,1.1837
OpenMP,Needles,591156730,8,3,1.9648
OpenMP,Needles,886735095,8,3,2.6620
OpenMP,Needles,1330102642,8,3,4.1083
