modo,algoritmo,tamaño,workers,iteracion,tiempo
OpenMP,Dartboard,400000,4,1,0.0028
OpenMP,Dartboard,600000,4,1,0.0028
OpenMP,Dartboard,900000,4,1,0.0059
OpenMP,Dartboard,1350000,4,1,0.0073
OpenMP,Dartboard,2025000,4,1,0.0059
OpenMP,Dartboard,3037500,4,1,0.0094
OpenMP,Dartboard,4556250,4,1,0.0160
OpenMP,Dartboard,6834375,4,1,0.0235
OpenMP,Dartboard,10251562,4,1,0.0269
OpenMP,Dartboard,15377343,4,1,0.0451
OpenMP,Dartboard,23066015,4,1,0.0611
OpenMP,Dartboard,34599022,4,1,0.0860
OpenMP,Dartboard,51898533,4,1,0.1261
OpenMP,Dartboard,77847800,4,1,0.1830
OpenMP,Dartboard,116771700,4,1,0.2714
OpenMP,Dartboard,175157550,4,1,0.4084
OpenMP,Dartboard,262736325,4,1,0.6096
OpenMP,Dartboard,394104487,4,1,0.9088
OpenMP,Dartboard,591156730,4,1,1.3637
OpenMP,Dartboard,886735095,4,1,2.0440
OpenMP,Dartboard,1330102642,4,1,3.0813
OpenMP,Dartboard,400000,4,2,0.0028
OpenMP,Dartboard,600000,4,2,0.0042
OpenMP,Dartboard,900000,4,2,0.0082
OpenMP,Dartboard,1350000,4,2,0.0054
OpenMP,Dartboard,2025000,4,2,0.0118
OpenMP,Dartboard,3037500,4,2,0.0104
OpenMP,Dartboard,4556250,4,2,0.0173
OpenMP,Dartboard,6834375,4,2,0.0229
OpenMP,Dartboard,10251562,4,2,0.0294
OpenMP,Dartboard,15377343,4,2,0.0420
OpenMP,Dartboard,23066015,4,2,0.0604
OpenMP,Dartboard,34599022,4,2,0.0886
OpenMP,Dartboard,51898533,4,2,0.1267
OpenMP,Dartboard,77847800,4,2,0.1863
OpenMP,Dartboard,116771700,4,2,0.2747
OpenMP,Dartboard,175157550,4,2,0.4104
OpenMP,Dartboard,262736325,4,2,0.6139
OpenMP,Dartboard,394104487,4,2,0.9156
OpenMP,Dartboard,591156730,4,2,1.3683
OpenMP,Dartboard,886735095,4,2,2.0518
OpenMP,Dartboard,1330102642,4,2,3.0699
OpenMP,Dartboard,400000,4,3,0.0029
OpenMP,Dartboard,600000,4,3,0.0030
OpenMP,Dartboard,900000,4,3,0.0081
OpenMP,Dartboard,1350000,4,3,0.0051
OpenMP,Dartboard,2025000,4,3,0.0061
OpenMP,Dartboard,3037500,4,3,0.0100
OpenMP,Dartboard,4556250,4,3,0.0163
OpenMP,Dartboard,6834375,4,3,0.0245
OpenMP,Dartboard,10251562,4,3,0.0284
OpenMP,Dartboard,15377343,4,3,0.0431
OpenMP,Dartboard,23066015,4,3,0.0597
OpenMP,Dartboard,34599022,4,3,0.0852
OpenMP,Dartboard,51898533,4,3,0.1259
