size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
1229,2,0.180447027,0.353802000,0.001007000,0.354809000,3711153537,20.566443,8.370551,19,openmp
1229,2,0.292051733,0.570644000,0.001955000,0.572599000,3711153537,12.707179,5.171827,19,openmp
1229,2,0.255628962,0.499608000,0.000370000,0.499978000,3711153537,14.517735,5.908724,19,openmp
1229,2,0.179153232,0.352543000,0.000058000,0.352601000,3711153537,20.714968,8.431001,19,openmp
1229,2,0.185189965,0.360050000,0.000793000,0.360843000,3711153537,20.039712,8.156171,19,openmp
1229,2,0.217286423,0.426492000,0.000907000,0.427399000,3711153537,17.079546,6.951382,19,openmp
1229,2,0.198366665,0.388091000,0.000000000,0.388091000,3711153537,18.708554,7.614389,19,openmp
1229,2,0.195094233,0.385050000,0.000097000,0.385147000,3711153537,19.022364,7.742110,19,openmp
1229,2,0.179259392,0.352141000,0.000000000,0.352141000,3711153537,20.702701,8.426008,19,openmp
1229,2,0.201332857,0.394544000,0.000000000,0.394544000,3711153537,18.432925,7.502208,19,openmp
1229,4,0.159102356,0.611471000,0.001100000,0.612571000,3711153537,23.325572,9.493517,19,openmp
1229,4,0.136820736,0.529526000,0.000000000,0.529526000,3711153537,27.124204,11.039562,19,openmp
1229,4,0.121733418,0.479096000,0.000109000,0.479205000,3711153537,30.485906,12.407776,19,openmp
1229,4,0.156719544,0.611042000,0.000000000,0.611042000,3711153537,23.680222,9.637860,19,openmp
1229,4,0.123131748,0.470627000,0.001720000,0.472347000,3711153537,30.139697,12.266869,19,openmp
1229,4,0.126841236,0.492201000,0.000059000,0.492260000,3711153537,29.258257,11.908123,19,openmp
1229,4,0.128005004,0.492027000,0.000000000,0.492027000,3711153537,28.992254,11.799859,19,openmp
1229,4,0.168072820,0.652779000,0.000904000,0.653683000,3711153537,22.080629,8.986825,19,openmp
1229,4,0.119120953,0.467491000,0.000153000,0.467644000,3711153537,31.154498,12.679894,19,openmp
1229,4,0.121054785,0.470290000,0.000000000,0.470290000,3711153537,30.656810,12.477334,19,openmp
1229,8,0.078323889,0.600845000,0.000831000,0.601676000,3711153537,47.382141,19.284551,19,openmp
1229,8,0.105714077,0.750813000,0.000000000,0.750813000,3711153537,35.105576,14.287984,19,openmp
1229,8,0.078140323,0.596086000,0.001008000,0.597094000,3711153537,47.493450,19.329854,19,openmp
1229,8,0.069907280,0.534977000,0.001203000,0.536180000,3711153537,53.086796,21.606348,19,openmp
1229,8,0.072357308,0.559444000,0.000000000,0.559444000,3711153537,51.289270,20.874754,19,openmp
1229,8,0.108013010,0.762746000,0.008331000,0.771077000,3711153537,34.358394,13.983880,19,openmp
1229,8,0.099850381,0.713116000,0.000430000,0.713546000,3711153537,37.167144,15.127043,19,openmp
1229,8,0.074673103,0.567995000,0.002819000,0.570814000,3711153537,49.698665,20.227377,19,openmp
1229,8,0.085784321,0.645406000,0.000000000,0.645406000,3711153537,43.261443,17.607425,19,openmp
1229,8,0.108850531,0.784105000,0.000848000,0.784953000,3711153537,34.094032,13.876285,19,openmp
1229,12,0.071641876,0.684489000,0.005930000,0.690419000,3711153537,51.801457,21.083214,19,openmp
1229,12,0.089767505,0.748524000,0.001986000,0.750510000,3711153537,41.341837,16.826144,19,openmp
